Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
25000.0,2007-08-22,syrenia,604.0,23.94%,225xx,VA,< 1 year,0.0
7500.0,2007-08-22,Saleysmom,449.0,14.78%,496xx,MN,6 years,0.0
2700.0,2007-08-22,buttercup-1970,526.0,31.69%,731xx,OK,6 years,0.0
2500.0,2007-08-22,king5six1,442.0,12.56%,334xx,FL,1 year,0.0
500.0,2007-08-22,redarrow,670.0,63600%,553xx,MN,2 years,0.0
5000.0,2007-08-22,coalpha,578.0,13.92%,802xx,CO,1 year,0.0
700.0,2007-08-23,lilstuff28,410.0,9.63%,760xx,TX,< 1 year,0.0
25000.0,2007-08-23,Selley,625.0,3.16%,600xx,WI,10+ years,0.0
5000.0,2007-08-23,MikeStrock,650.0,20.95%,980xx,WA,5 years,0.0
3000.0,2007-08-23,nruizar,553.0,41.71%,331xx,FL,2 years,0.0
5000.0,2007-08-23,oucutiern,419.0,13.76%,741xx,OK,1 year,0.0
5000.0,2007-08-23,superkicker,475.0,34.75%,975xx,OH,< 1 year,0.0
3000.0,2007-08-23,Need to payoff high interest payday loan,542.0,0.85%,891xx,NV,2 years,0.0
9000.0,2007-08-23,Puppy_Hershey,650.0,52.98%,852xx,AZ,< 1 year,0.0
22300.0,2007-08-23,castlwizz,629.0,37.05%,952xx,CA,< 1 year,0.0
5000.0,2007-08-23,k-bro,583.0,0.52%,847xx,UT,1 year,0.0
25000.0,2007-08-24,ProudMarineProudPapa,613.0,2.74%,853xx,AZ,3 years,0.0
2000.0,2007-08-24,clarigem,501.0,0%,100xx,NY,< 1 year,0.0
8700.0,2007-08-24,consolidate debt,682.0,52.95%,712xx,LA,4 years,0.0
5000.0,2007-08-24,AaronHansen,460.0,4.72%,121xx,NY,1 year,0.0
25000.0,2007-08-24,Mycstro,498.0,0%,076xx,NJ,< 1 year,0.0
5000.0,2007-08-24,credittest,700.0,25%,100xx,NY,< 1 year,0.0
1000.0,2007-08-24,digix010,516.0,18.18%,535xx,WI,2 years,0.0
12500.0,2007-08-24,fpres1079,517.0,19.02%,708xx,LA,1 year,0.0
25000.0,2007-08-25,czar2k4ever,425.0,16.54%,354xx,AL,2 years,0.0
10000.0,2007-08-25,silvia,495.0,7.1%,333xx,FL,1 year,0.0
1500.0,2007-08-25,whitedove40,578.0,2.5%,265xx,WV,1 year,0.0
25000.0,2007-08-25,Fester5,700.0,33%,530xx,WI,5 years,0.0
2000.0,2007-08-25,Kyguy,510.0,16.66%,400xx,KY,4 years,0.0
1500.0,2007-08-26,freebird72,550.0,0%,265xx,WV,< 1 year,0.0
5000.0,2007-08-26,jc,613.0,27.31%,331xx,FL,10+ years,0.0
10000.0,2007-08-26,rara07,650.0,47.02%,100xx,NY,< 1 year,0.0
5000.0,2007-08-26,KBroad01,574.0,2.38%,740xx,OK,10+ years,0.0
3000.0,2007-08-27,cardiostudent,578.0,26.74%,329xx,FL,< 1 year,0.0
8000.0,2007-08-27,naturefreak715,648.0,25.92%,089xx,NJ,< 1 year,0.0
2000.0,2007-08-27,Sharellybme,605.0,30.6%,065xx,CT,2 years,0.0
10000.0,2007-08-27,woushe23,528.0,0%,115xx,NY,2 years,0.0
5000.0,2007-08-27,harlemshunny89,0.0,1.26%,100xx,NY,3 years,0.0
4000.0,2007-08-27,cssp1000,558.0,12.72%,346xx,FL,< 1 year,0.0
4000.0,2007-08-27,Trying to pay off credit cards and pay you rather than pay the high interest to the credit lenders,653.0,0%,021xx,MA,1 year,0.0
10000.0,2007-08-28,rosie66,581.0,4.14%,302xx,GA,3 years,0.0
16200.0,2007-08-28,mdbia,577.0,0%,302xx,GA,< 1 year,0.0
3000.0,2007-08-28,mrfriggz,522.0,0%,850xx,AZ,3 years,0.0
25000.0,2007-08-28,bobershaw,502.0,56.61%,840xx,UT,2 years,0.0
25000.0,2007-08-28,PhoenixFawkes,579.0,24.31%,441xx,OH,3 years,0.0
500.0,2007-08-28,Omgitsjoe89,0.0,0%,125xx,NY,< 1 year,0.0
1500.0,2007-08-28,hakunamachada,527.0,112%,741xx,OK,< 1 year,0.0
2700.0,2007-08-28,kcguy,552.0,11.69%,641xx,MO,1 year,0.0
2000.0,2007-08-28,umkchell,453.0,41.57%,641xx,MO,< 1 year,0.0
18000.0,2007-08-28,pqwest76,492.0,12.38%,201xx,VA,< 1 year,0.0
2475.0,2007-08-28,missinprophet101,487.0,10%,021xx,MA,< 1 year,0.0
3000.0,2007-08-28,jgordon,431.0,0%,328xx,FL,< 1 year,0.0
20000.0,2007-08-28,GraduatingSoon,582.0,46.98%,351xx,AL,4 years,0.0
5000.0,2007-08-28,EndertJW,457.0,1.02%,489xx,MI,1 year,0.0
7000.0,2007-08-28,chirn9980,637.0,44.4%,450xx,OH,8 years,0.0
800.0,2007-08-28,kdeveres,511.0,444%,672xx,KS,< 1 year,0.0
6000.0,2007-08-28,lhowell286,478.0,8.56%,104xx,NY,2 years,0.0
5000.0,2007-08-29,nodnarb100,553.0,25.95%,105xx,NY,4 years,0.0
20000.0,2007-08-29,jasonw4,517.0,18.17%,554xx,MN,2 years,0.0
3000.0,2007-08-29,jjrene,493.0,28.24%,023xx,MA,1 year,0.0
3000.0,2007-08-29,Liberty ST,626.0,2.56%,104xx,NY,1 year,0.0
25000.0,2007-08-29,robin,670.0,17.64%,333xx,FL,< 1 year,0.0
1000.0,2007-08-29,Judy,664.0,0.44%,068xx,CT,10+ years,0.0
25000.0,2007-08-30,swolff,503.0,71.27%,407xx,KY,2 years,0.0
1000.0,2007-08-30,richkid,659.0,16.19%,361xx,AL,6 years,0.0
7000.0,2007-08-30,katmill,507.0,23.13%,853xx,AZ,5 years,0.0
4500.0,2007-08-30,golden_girl5,496.0,0%,232xx,VA,1 year,0.0
2600.0,2007-08-30,leovarg_67,576.0,14.88%,333xx,FL,< 1 year,0.0
2400.0,2007-08-31,rickz,569.0,22.17%,199xx,DE,9 years,0.0
3000.0,2007-08-31,singlemom21,504.0,5.45%,104xx,NY,< 1 year,0.0
25000.0,2007-08-31,ivanjose,605.0,21.11%,333xx,FL,10+ years,0.0
5000.0,2007-08-31,papichulo476,661.0,25.2%,088xx,NJ,2 years,0.0
25000.0,2007-08-31,BrinzeGoddess,664.0,27.38%,109xx,NY,2 years,0.0
4300.0,2007-08-31,digitalpariah,604.0,7.06%,444xx,OH,< 1 year,0.0
5000.0,2007-09-01,Viper,536.0,1.09%,687xx,NE,1 year,0.0
3000.0,2007-09-01,farleynyc,598.0,8.84%,070xx,NJ,< 1 year,0.0
10000.0,2007-09-01,eaglenest90,611.0,42.15%,083xx,NJ,< 1 year,0.0
6000.0,2007-09-01,FedeX,568.0,17.33%,330xx,FL,5 years,0.0
7500.0,2007-09-01,kegmar,503.0,6.24%,122xx,NY,3 years,0.0
2000.0,2007-09-02,sabrena555,532.0,25.24%,950xx,CO,5 years,0.0
5000.0,2007-09-02,mrod777,558.0,105.43%,950xx,CO,5 years,0.0
20000.0,2007-09-02,michael,560.0,35.91%,140xx,NY,< 1 year,0.0
15000.0,2007-09-02,Alex Priel,582.0,7.6%,440xx,OH,2 years,0.0
5000.0,2007-09-03,dalton,506.0,21.65%,631xx,MO,< 1 year,0.0
9000.0,2007-09-03,dmorris,627.0,51.1%,551xx,MN,< 1 year,0.0
1000.0,2007-09-03,A Grand For A Plan,579.0,10.8%,498xx,MI,3 years,0.0
3500.0,2007-09-04,laphelle,556.0,20.32%,292xx,SC,2 years,0.0
8000.0,2007-09-04,secure216,468.0,19.73%,481xx,MS,1 year,0.0
2500.0,2007-09-04,Kibure,536.0,12.07%,305xx,GA,< 1 year,0.0
10000.0,2007-09-04,skierpro,628.0,17.76%,144xx,NY,< 1 year,0.0
1250.0,2007-09-04,abjones626,485.0,324%,647xx,MO,2 years,0.0
10000.0,2007-09-04,help me refinance ,683.0,28.77%,191xx,PA,1 year,0.0
17000.0,2007-09-04,sassylassy,483.0,16.8%,740xx,OK,2 years,0.0
1450.0,2007-09-04,fltmaiden,489.0,16.59%,907xx,CO,10+ years,0.0
1850.0,2007-09-05,ejschoster,541.0,31%,532xx,WI,< 1 year,0.0
1000.0,2007-09-05,tb42,712.0,12.87%,841xx,UT,5 years,0.0
8500.0,2007-09-05,Jenna9986,658.0,2.84%,233xx,VA,< 1 year,0.0
2000.0,2007-09-05,blightymouse,612.0,4.58%,776xx,TX,10+ years,0.0
10000.0,2007-09-05,sherloch,570.0,0%,786xx,TX,2 years,0.0
500.0,2007-09-06,vbor72,472.0,9.65%,339xx,FL,1 year,0.0
500.0,2007-09-06,aka_mom3,434.0,16.1%,461xx,IN,4 years,0.0
2000.0,2007-09-06,chijackie6,610.0,26.71%,442xx,OH,< 1 year,0.0
1500.0,2007-09-06,Joshua Harwood,695.0,30.3%,852xx,AZ,3 years,0.0
25000.0,2007-09-06,chawk,724.0,0%,637xx,MO,< 1 year,0.0
4000.0,2007-09-06,nubeea,541.0,16.3%,850xx,AZ,< 1 year,0.0
5000.0,2007-09-06,ellc1234,552.0,0.61%,981xx,WA,3 years,0.0
3500.0,2007-09-06,eone865,582.0,9.21%,100xx,NY,< 1 year,0.0
10000.0,2007-09-07,Have experiance need the money,580.0,2.3%,296xx,SC,1 year,0.0
2000.0,2007-09-07,Catching Up On Expenses,415.0,2.4%,112xx,NY,9 years,0.0
10000.0,2007-09-07,"lsldldk doinfn ,fnopsd",640.0,41.66%,038xx,NH,< 1 year,0.0
11500.0,2007-09-07,Tall Scott,535.0,1%,038xx,NH,1 year,0.0
5000.0,2007-09-07,Woody6165,562.0,25.89%,275xx,NC,2 years,0.0
10000.0,2007-09-07,twchorses,626.0,31.04%,746xx,OK,4 years,0.0
15000.0,2007-09-07,cali555,450.0,16.75%,917xx,AZ,1 year,0.0
9000.0,2007-09-07,LizardKing,470.0,4.35%,140xx,NY,5 years,0.0
5000.0,2007-09-07,Unsecured personal loan,684.0,0.39%,112xx,NY,8 years,0.0
3000.0,2007-09-07,Jonathan,594.0,0%,331xx,FL,< 1 year,0.0
8500.0,2007-09-08,kim9294,511.0,101.5%,483xx,MA,7 years,0.0
3000.0,2007-09-08,"I am a college student at DeVry University in my last year. I would like to pay off my credit card debt I have accumulated while in college to improve my credit score and make life easier by only having one payment every month. I have never missed a payment. I do not have any other debt of any kind. Tuition, room, and board are being paid for me.  I do not have any expenses besides credit card payments and miscellaneous small items.  My current monthly budget is as follows:  Credit card payments: $120 Miscellaneous expenses: $80 Total: $200 Income: $600 Free cash flow: $400 ",630.0,22.08%,750xx,TX,< 1 year,0.0
3000.0,2007-09-08,honeygirl,575.0,0.93%,606xx,IN,3 years,0.0
15400.0,2007-09-08,olind111,547.0,31.28%,974xx,OH,4 years,0.0
6000.0,2007-09-08,iacableguy,412.0,0.56%,550xx,MN,< 1 year,0.0
2000.0,2007-09-08,sonicsareus,420.0,10.39%,633xx,MO,3 years,0.0
3000.0,2007-09-08,jme621,592.0,17.03%,675xx,KS,1 year,0.0
7000.0,2007-09-08,"Paying off Prosper, building website",666.0,25%,660xx,KS,< 1 year,0.0
3800.0,2007-09-08,saras129,653.0,25%,087xx,NJ,< 1 year,0.0
25000.0,2007-09-09,rd11,629.0,277.66%,985xx,WA,6 years,0.0
2000.0,2007-09-09,havok410,587.0,7.97%,100xx,NY,1 year,0.0
8000.0,2007-09-10,jplcrum,540.0,9.06%,100xx,NY,< 1 year,0.0
5000.0,2007-09-10,robb1278,613.0,28.7%,435xx,OH,1 year,0.0
10000.0,2007-09-10,ggatt,442.0,13.94%,782xx,TX,3 years,0.0
7000.0,2007-09-10,FreeFreekey,476.0,2.78%,276xx,NC,1 year,0.0
4000.0,2007-09-10,New Carpet for Our Home,488.0,0%,760xx,TX,< 1 year,0.0
2500.0,2007-09-11,ernpet,576.0,1.68%,352xx,AL,2 years,0.0
4200.0,2007-09-11,Texasgirl67,633.0,24.53%,752xx,TX,< 1 year,0.0
1500.0,2007-09-11,xkidace,0.0,0.46%,105xx,NY,3 years,0.0
10000.0,2007-09-11,bzazab4,597.0,2.29%,239xx,VA,2 years,0.0
4200.0,2007-09-11,ttranx2,611.0,23.07%,752xx,TX,< 1 year,0.0
7200.0,2007-09-12,Personal Loan,686.0,24.98%,146xx,NY,< 1 year,0.0
3000.0,2007-09-12,MissLady85,581.0,16.76%,207xx,MD,3 years,0.0
600.0,2007-09-12,personal,658.0,0%,350xx,AL,< 1 year,0.0
5000.0,2007-09-12,brady969,561.0,13.49%,224xx,VA,< 1 year,0.0
1500.0,2007-09-12,Mghtymse247,640.0,3%,060xx,CT,2 years,0.0
6250.0,2007-09-12,kcalvillo,492.0,0%,840xx,UT,6 years,0.0
1000.0,2007-09-12,gr8dancer_05,389.0,3.45%,668xx,KS,< 1 year,0.0
2000.0,2007-09-12,Patricia Olivares,584.0,13.23%,799xx,TX,9 years,0.0
10000.0,2007-09-12,seasterday,585.0,23.89%,461xx,IN,3 years,0.0
500.0,2007-09-13,letitbe,532.0,8.59%,982xx,WA,< 1 year,0.0
9000.0,2007-09-13,lavisle,701.0,27.46%,337xx,FL,5 years,0.0
4500.0,2007-09-13,Joseph.mcintosh,0.0,0%,806xx,CO,3 years,0.0
5500.0,2007-09-13,yngpros,530.0,19.49%,112xx,NY,10+ years,0.0
15000.0,2007-09-13,Patt,644.0,65.2%,283xx,NC,1 year,0.0
4000.0,2007-09-13,kylebragger,495.0,0.32%,112xx,NY,2 years,0.0
25000.0,2007-09-13,nomad,673.0,23.46%,194xx,PA,1 year,0.0
1500.0,2007-09-13,cnoduah,533.0,33.03%,303xx,GA,1 year,0.0
1000.0,2007-09-13,jeffignacio,623.0,7.09%,900xx,CO,< 1 year,0.0
500.0,2007-09-13,writer,511.0,11.34%,024xx,MA,7 years,0.0
2000.0,2007-09-13,jmoore2200,479.0,1.84%,622xx,CO,2 years,0.0
15000.0,2007-09-13,TODDMAY2007,586.0,1.23%,773xx,TX,10+ years,0.0
6000.0,2007-09-13,"my debts are as follows-credit card -$5,000, credit card $1030,00, auto loan balance 1500.00, trs loan $5,000, student loan 3,000, and to help my kids with their expenses for college and their debt.  any other information i would be glad to provide. ",667.0,35.35%,770xx,TX,10+ years,0.0
25000.0,2007-09-13,micsay,703.0,1.63%,032xx,NH,1 year,0.0
1500.0,2007-09-13,j6594g,468.0,51.36%,135xx,NY,1 year,0.0
2000.0,2007-09-13,dobied,583.0,18.22%,327xx,FL,5 years,0.0
6700.0,2007-09-13,pdloan2007,532.0,0%,070xx,NJ,1 year,0.0
25000.0,2007-09-13,gabieee,576.0,21.04%,330xx,FL,4 years,0.0
20000.0,2007-09-13,Mike Paul,565.0,64.91%,427xx,KY,4 years,0.0
7000.0,2007-09-13,muffin235,534.0,64.8%,011xx,MA,7 years,0.0
23000.0,2007-09-13,Debt consolidation,717.0,19.09%,801xx,CO,1 year,0.0
500.0,2007-09-13,cowboynfla,0.0,0%,349xx,FL,1 year,0.0
5000.0,2007-09-13,JayR036,621.0,29.55%,070xx,NJ,2 years,0.0
7500.0,2007-09-13,stevethiel,632.0,0.57%,802xx,CO,3 years,0.0
500.0,2007-09-14,amarino,769.0,0.82%,100xx,NY,< 1 year,0.0
3500.0,2007-09-14,allenkool,572.0,21.07%,782xx,TX,< 1 year,0.0
5000.0,2007-09-14,Phillychick,490.0,9.2%,100xx,NY,2 years,0.0
500.0,2007-09-14,geralddean,536.0,10.46%,112xx,NY,< 1 year,0.0
3500.0,2007-09-14,bratcia16,462.0,18.89%,465xx,IN,5 years,0.0
6000.0,2007-09-14,medicblues,464.0,18.25%,667xx,KS,3 years,0.0
25000.0,2007-09-14,anzio,706.0,35.62%,750xx,TX,< 1 year,0.0
17500.0,2007-09-14,consolidate and be cc debt free,676.0,61.35%,441xx,OH,10+ years,0.0
1500.0,2007-09-14,wt1000,584.0,16.5%,460xx,IN,2 years,0.0
10000.0,2007-09-14,smknflams,592.0,23.24%,216xx,MD,5 years,0.0
6500.0,2007-09-14,taishap1211,412.0,282.6%,060xx,CT,< 1 year,0.0
25000.0,2007-09-14,rohitgmathew,576.0,15.58%,980xx,WA,2 years,0.0
4000.0,2007-09-14,bigjohn,440.0,8.11%,633xx,MO,1 year,0.0
3000.0,2007-09-14,tsouth,700.0,25.18%,333xx,FL,< 1 year,0.0
5000.0,2007-09-14,Evie,511.0,8.99%,436xx,OH,4 years,0.0
5000.0,2007-09-14,Fred,516.0,4.47%,436xx,OH,4 years,0.0
1000.0,2007-09-14,Floridagal62,0.0,0%,327xx,FL,8 years,0.0
7500.0,2007-09-14,strykerhouse,0.0,0%,967xx,HI,10+ years,0.0
15000.0,2007-09-14,princessgrace,496.0,12.75%,060xx,CT,< 1 year,0.0
500.0,2007-09-14,yeremeyv,494.0,13.36%,235xx,VA,< 1 year,0.0
800.0,2007-09-14,tadams12,607.0,24.25%,981xx,WA,< 1 year,0.0
10000.0,2007-09-14,TXGuy,625.0,43.52%,770xx,TX,< 1 year,0.0
10000.0,2007-09-15,CUPCAKE1,501.0,6.61%,115xx,NY,9 years,0.0
2000.0,2007-09-15,bender,515.0,1.84%,115xx,NY,< 1 year,0.0
25000.0,2007-09-15,russandjackie,531.0,22.71%,302xx,GA,< 1 year,0.0
10000.0,2007-09-15,onelou238,447.0,122.1%,323xx,FL,< 1 year,0.0
1000.0,2007-09-15,alydarinc,442.0,0.96%,951xx,CO,1 year,0.0
5000.0,2007-09-15,mama,588.0,4.47%,841xx,UT,1 year,0.0
7000.0,2007-09-15,karate_crimson,655.0,0%,923xx,AZ,< 1 year,0.0
1500.0,2007-09-16,debhad,586.0,18.03%,302xx,GA,10+ years,0.0
3500.0,2007-09-16,RVelaz,638.0,17.51%,075xx,NJ,2 years,0.0
12500.0,2007-09-16,pixe13,657.0,0.47%,787xx,TX,2 years,0.0
25000.0,2007-09-16,ca_da_hawka,0.0,0%,840xx,UT,< 1 year,0.0
3000.0,2007-09-16,JGR,688.0,25.73%,333xx,FL,10+ years,0.0
10000.0,2007-09-16,TES,469.0,24.42%,640xx,MO,10+ years,0.0
12000.0,2007-09-16,kristina1979,407.0,13.64%,564xx,MN,2 years,0.0
8000.0,2007-09-16,Quasi,682.0,30.35%,235xx,VA,1 year,0.0
7000.0,2007-09-16,Nafi,536.0,1.89%,104xx,NY,8 years,0.0
6000.0,2007-09-16,PaulaJoFair,604.0,11.92%,325xx,FL,10+ years,0.0
1600.0,2007-09-16,onemorerep315,551.0,14.33%,229xx,VA,< 1 year,0.0
5000.0,2007-09-16,busymommy,522.0,73%,298xx,SC,2 years,0.0
5000.0,2007-09-16,romanglad,532.0,53.13%,468xx,IN,1 year,0.0
500.0,2007-09-16,mom100,497.0,0%,147xx,NY,4 years,0.0
10000.0,2007-09-16,BackonTrack,553.0,13.78%,765xx,TX,2 years,0.0
3800.0,2007-09-16,canvasd,572.0,0.46%,019xx,MA,2 years,0.0
2500.0,2007-09-17,cjsavannah,510.0,2.13%,323xx,FL,7 years,0.0
25000.0,2007-09-17,owljmd,628.0,27.06%,785xx,TX,8 years,0.0
5000.0,2007-09-17,Greg,700.0,41.96%,321xx,FL,7 years,0.0
12500.0,2007-09-17,mvig12,565.0,73.83%,453xx,OH,7 years,0.0
10000.0,2007-09-17,loser1682,634.0,26.88%,531xx,WI,1 year,0.0
4500.0,2007-09-17,G35Driver,650.0,33.36%,282xx,NC,< 1 year,0.0
3500.0,2007-09-17,ds997,584.0,41.3%,630xx,MO,10+ years,0.0
5000.0,2007-09-17,psikic72032,625.0,11.71%,720xx,AR,3 years,0.0
3000.0,2007-09-17,Maurice43,466.0,31.62%,301xx,GA,1 year,0.0
7500.0,2007-09-17,lautostoppeur,588.0,11.56%,946xx,CA,1 year,0.0
6500.0,2007-09-17,sideburnz,557.0,14.88%,852xx,AZ,2 years,0.0
2000.0,2007-09-17,mlee1102,433.0,209.58%,787xx,TX,4 years,0.0
9000.0,2007-09-17,yabaha,625.0,8.5%,982xx,WA,1 year,0.0
18000.0,2007-09-18,icyblue76,707.0,8.72%,112xx,NY,1 year,0.0
5000.0,2007-09-18,jlydick,648.0,11.74%,640xx,MO,10+ years,0.0
1500.0,2007-09-18,mission686,391.0,3.48%,104xx,NY,< 1 year,0.0
2000.0,2007-09-18,rose,459.0,20.3%,441xx,OH,10+ years,0.0
2500.0,2007-09-18,elcarmom,535.0,23.38%,447xx,OH,< 1 year,0.0
6000.0,2007-09-18,TabbiCat,669.0,5.05%,300xx,GA,< 1 year,0.0
4500.0,2007-09-18,Rhar7128,536.0,8.36%,064xx,CT,3 years,0.0
25000.0,2007-09-18,moorsense,529.0,5.11%,232xx,VA,< 1 year,0.0
14250.0,2007-09-18,CMoonMaura,579.0,11.84%,023xx,MA,< 1 year,0.0
5000.0,2007-09-18,Lathomas,542.0,10.8%,725xx,AR,5 years,0.0
1000.0,2007-09-18,LarissaLou,505.0,47.16%,147xx,NY,6 years,0.0
4500.0,2007-09-18,skipher,547.0,0.9%,852xx,AZ,3 years,0.0
5750.0,2007-09-18,Daybyday,504.0,25.31%,212xx,MD,1 year,0.0
500.0,2007-09-18,JuniorTheGr8,556.0,57.33%,321xx,FL,1 year,0.0
7275.0,2007-09-18,Helped mother and brother and now I need,400.0,8.56%,212xx,MD,< 1 year,0.0
1000.0,2007-09-19,ejh4isu,621.0,40.96%,528xx,IA,< 1 year,0.0
5000.0,2007-09-19,clettenberg,475.0,12.93%,604xx,IN,10+ years,0.0
6500.0,2007-09-19,Chere,474.0,0%,334xx,FL,3 years,0.0
6000.0,2007-09-19,Looking to wrangle thinsg into one debt,605.0,19.8%,467xx,IN,< 1 year,0.0
